label_id	type	type_color
2520.0	axocord_muscles	255-214-39-40
3913.0	infracerebral_gland	255-44-160-44
4040.0	infracerebral_gland	255-44-160-44
4428.0	infracerebral_gland	255-44-160-44
4611.0	forgut_epithelium	255-188-189-34
4738.0	forgut_epithelium	255-188-189-34
4751.0	axocord_muscles	255-214-39-40
4752.0	axocord_muscles	255-214-39-40
4769.0	axocord_muscles	255-214-39-40
4774.0	infracerebral_gland	255-44-160-44
4892.0	forgut_epithelium	255-188-189-34
4909.0	forgut_epithelium	255-188-189-34
4915.0	forgut_epithelium	255-188-189-34
4927.0	infracerebral_gland	255-44-160-44
4929.0	forgut_epithelium	255-188-189-34
4932.0	axocord_muscles	255-214-39-40
4933.0	infracerebral_gland	255-44-160-44
4935.0	infracerebral_gland	255-44-160-44
5065.0	axocord_muscles	255-214-39-40
5088.0	forgut_epithelium	255-188-189-34
5094.0	infracerebral_gland	255-44-160-44
5096.0	axocord_muscles	255-214-39-40
5120.0	infracerebral_gland	255-44-160-44
5134.0	infracerebral_gland	255-44-160-44
5141.0	infracerebral_gland	255-44-160-44
5300.0	infracerebral_gland	255-44-160-44
5316.0	forgut_epithelium	255-188-189-34
5325.0	forgut_epithelium	255-188-189-34
5330.0	forgut_epithelium	255-188-189-34
5332.0	forgut_epithelium	255-188-189-34
5334.0	axocord_muscles	255-214-39-40
5350.0	infracerebral_gland	255-44-160-44
5351.0	axocord_muscles	255-214-39-40
5353.0	axocord_muscles	255-214-39-40
5356.0	forgut_epithelium	255-188-189-34
5358.0	infracerebral_gland	255-44-160-44
5359.0	axocord_muscles	255-214-39-40
5368.0	infracerebral_gland	255-44-160-44
5496.0	forgut_epithelium	255-188-189-34
5514.0	forgut_epithelium	255-188-189-34
5522.0	forgut_epithelium	255-188-189-34
5524.0	axocord_muscles	255-214-39-40
5544.0	forgut_epithelium	255-188-189-34
5546.0	forgut_epithelium	255-188-189-34
5552.0	infracerebral_gland	255-44-160-44
5554.0	infracerebral_gland	255-44-160-44
5564.0	forgut_epithelium	255-188-189-34
5566.0	axocord_muscles	255-214-39-40
5567.0	forgut_epithelium	255-188-189-34
5568.0	infracerebral_gland	255-44-160-44
5569.0	infracerebral_gland	255-44-160-44
5571.0	infracerebral_gland	255-44-160-44
5572.0	infracerebral_gland	255-44-160-44
5574.0	forgut_epithelium	255-188-189-34
5576.0	infracerebral_gland	255-44-160-44
5578.0	infracerebral_gland	255-44-160-44
5579.0	infracerebral_gland	255-44-160-44
5595.0	infracerebral_gland	255-44-160-44
5719.0	forgut_epithelium	255-188-189-34
5726.0	infracerebral_gland	255-44-160-44
5729.0	infracerebral_gland	255-44-160-44
5750.0	forgut_epithelium	255-188-189-34
5751.0	infracerebral_gland	255-44-160-44
5752.0	infracerebral_gland	255-44-160-44
5753.0	axocord_muscles	255-214-39-40
5754.0	infracerebral_gland	255-44-160-44
5755.0	infracerebral_gland	255-44-160-44
5769.0	forgut_epithelium	255-188-189-34
5776.0	infracerebral_gland	255-44-160-44
5778.0	infracerebral_gland	255-44-160-44
5779.0	infracerebral_gland	255-44-160-44
5780.0	infracerebral_gland	255-44-160-44
5791.0	infracerebral_gland	255-44-160-44
5792.0	infracerebral_gland	255-44-160-44
5793.0	infracerebral_gland	255-44-160-44
5794.0	infracerebral_gland	255-44-160-44
5796.0	infracerebral_gland	255-44-160-44
5797.0	forgut_epithelium	255-188-189-34
5798.0	infracerebral_gland	255-44-160-44
5820.0	axocord_muscles	255-214-39-40
5822.0	infracerebral_gland	255-44-160-44
5823.0	infracerebral_gland	255-44-160-44
5932.0	forgut_epithelium	255-188-189-34
5940.0	forgut_epithelium	255-188-189-34
5948.0	infracerebral_gland	255-44-160-44
5949.0	axocord_muscles	255-214-39-40
5950.0	infracerebral_gland	255-44-160-44
5953.0	infracerebral_gland	255-44-160-44
5973.0	forgut_epithelium	255-188-189-34
5974.0	forgut_epithelium	255-188-189-34
5979.0	infracerebral_gland	255-44-160-44
5980.0	infracerebral_gland	255-44-160-44
5983.0	axocord_muscles	255-214-39-40
5996.0	forgut_epithelium	255-188-189-34
5998.0	forgut_epithelium	255-188-189-34
5999.0	forgut_epithelium	255-188-189-34
6006.0	forgut_epithelium	255-188-189-34
6007.0	infracerebral_gland	255-44-160-44
6020.0	axocord_muscles	255-214-39-40
6021.0	infracerebral_gland	255-44-160-44
6023.0	infracerebral_gland	255-44-160-44
6024.0	infracerebral_gland	255-44-160-44
6025.0	infracerebral_gland	255-44-160-44
6028.0	forgut_epithelium	255-188-189-34
6029.0	infracerebral_gland	255-44-160-44
6030.0	infracerebral_gland	255-44-160-44
6032.0	forgut_epithelium	255-188-189-34
6033.0	forgut_epithelium	255-188-189-34
6047.0	infracerebral_gland	255-44-160-44
6049.0	infracerebral_gland	255-44-160-44
6203.0	forgut_epithelium	255-188-189-34
6213.0	forgut_epithelium	255-188-189-34
6215.0	infracerebral_gland	255-44-160-44
6217.0	infracerebral_gland	255-44-160-44
