label_id	morphocontext_clust_color	gene_clust_color	manually_segm_color
80.0	255-152-223-138	255-158-218-229	0-0-0-0
233.0	255-152-223-138	255-140-86-75	0-0-0-0
343.0	255-152-223-138	255-44-160-44	255-44-160-44
354.0	255-152-223-138	255-44-160-44	255-152-223-138
426.0	255-152-223-138	255-44-160-44	0-0-0-0
464.0	255-152-223-138	255-44-160-44	0-0-0-0
472.0	255-152-223-138	255-152-223-138	255-44-160-44
489.0	255-152-223-138	255-140-86-75	255-158-218-229
507.0	255-152-223-138	255-44-160-44	255-44-160-44
514.0	255-44-160-44	255-140-86-75	255-188-189-34
521.0	255-44-160-44	255-140-86-75	0-0-0-0
527.0	255-152-223-138	255-152-223-138	255-44-160-44
563.0	255-152-223-138	255-140-86-75	0-0-0-0
572.0	255-44-160-44	255-44-160-44	255-44-160-44
577.0	0-0-0-0	255-44-160-44	255-44-160-44
581.0	255-152-223-138	255-152-223-138	255-44-160-44
584.0	255-44-160-44	255-44-160-44	255-44-160-44
607.0	255-152-223-138	255-152-223-138	255-44-160-44
677.0	255-44-160-44	255-140-86-75	255-188-189-34
688.0	255-152-223-138	255-152-223-138	255-152-223-138
697.0	255-152-223-138	255-44-160-44	255-44-160-44
701.0	255-152-223-138	255-44-160-44	255-44-160-44
728.0	255-44-160-44	255-140-86-75	255-188-189-34
733.0	255-44-160-44	255-140-86-75	255-188-189-34
734.0	255-44-160-44	255-140-86-75	255-188-189-34
737.0	255-152-223-138	255-44-160-44	255-44-160-44
746.0	0-0-0-0	0-0-0-0	0-0-0-0
756.0	255-152-223-138	255-152-223-138	255-152-223-138
763.0	255-219-219-141	255-219-219-141	0-0-0-0
790.0	0-0-0-0	255-158-218-229	0-0-0-0
791.0	0-0-0-0	255-158-218-229	0-0-0-0
792.0	255-152-223-138	255-158-218-229	255-152-223-138
794.0	0-0-0-0	255-158-218-229	0-0-0-0
798.0	255-44-160-44	255-140-86-75	255-188-189-34
804.0	255-152-223-138	255-152-223-138	255-152-223-138
818.0	255-152-223-138	255-152-223-138	255-152-223-138
824.0	255-44-160-44	255-44-160-44	255-44-160-44
830.0	255-152-223-138	255-152-223-138	0-0-0-0
831.0	255-152-223-138	0-0-0-0	0-0-0-0
